,step,avg_risk_aversion,std_risk_aversion,total_wealth,wealth_gini,max_wealth,min_wealth,ra_wealth_correlation,scenario,replication,ra_bounds
0,0,0.28321180111432315,0.2559119311990341,2.4010660126805305e-09,0.757964830077352,236744.22185410644,-166207.62035817013,0.421363116189493,Risk Seeking,0,"[0.0, 0.3]"
1,1,0.28498414989297216,0.22493914613189156,1.1204974725842476e-09,0.707902712788711,209810.84828063665,-197638.96520129772,-0.21083464624651246,Risk Seeking,0,"[0.0, 0.3]"
2,2,0.27639427017980134,0.2094523832487485,1.382431946694851e-09,0.7054873071344028,182584.78264464694,-178696.17807184492,-0.3356970165202402,Risk Seeking,0,"[0.0, 0.3]"
3,3,0.2815300678176914,0.1879371348689906,-2.8594513423740864e-09,0.6949825868467787,166913.7773669344,-189069.52222779702,-0.3207163281209319,Risk Seeking,0,"[0.0, 0.3]"
4,4,0.28148116128824274,0.17932533384958832,2.3283064365386963e-10,0.7249555344317753,158419.10809046446,-182447.21002047785,-0.33462804558276366,Risk Seeking,0,"[0.0, 0.3]"
5,5,0.2784307800235215,0.1660004356720132,-7.006747182458639e-09,0.6927339113683915,146209.4004162935,-209511.10494126438,-0.36782204038280464,Risk Seeking,0,"[0.0, 0.3]"
6,6,0.2695616242126316,0.14765631110133165,-5.73345459997654e-09,0.6850705316080097,118994.64852065156,-223769.46119504425,-0.2558120653631201,Risk Seeking,0,"[0.0, 0.3]"
7,7,0.2685475427157789,0.13770774197585883,4.307366907596588e-09,0.6925845118979383,103225.64873341944,-212655.72811010087,-0.22412825838030012,Risk Seeking,0,"[0.0, 0.3]"
8,8,0.2551372167648625,0.11610594750594005,6.715708877891302e-09,0.6736325560394982,107970.73411051436,-208750.12673460087,-0.3396706870784512,Risk Seeking,0,"[0.0, 0.3]"
9,9,0.2473377866851604,0.10465567485318716,9.575160220265388e-09,0.6535283253614865,97382.65088982314,-212276.06425128205,-0.3546026951686113,Risk Seeking,0,"[0.0, 0.3]"
10,10,0.24198006578340514,0.09110005330218121,9.313225746154785e-10,0.6583895515813267,110275.25119091917,-162043.3748816986,-0.21910994162387942,Risk Seeking,0,"[0.0, 0.3]"
11,11,0.23812428152603507,0.08629978856013557,-1.280568540096283e-09,0.6410964676623689,85997.14399196488,-161959.45784210635,-0.18706102265027752,Risk Seeking,0,"[0.0, 0.3]"
12,12,0.2356713490844814,0.08188529019011685,-7.450580596923828e-09,0.6421283273689202,74967.33011014918,-120050.16217848597,-0.11316910626248747,Risk Seeking,0,"[0.0, 0.3]"
13,13,0.23202534808739123,0.07827898772435597,-1.0826624929904938e-08,0.6728231124560364,77391.38170023137,-110313.76287129428,-0.1864175077291146,Risk Seeking,0,"[0.0, 0.3]"
14,14,0.23346475382621673,0.07602452056135657,-1.0637450031936169e-08,0.6631500990278898,73815.16762701537,-94235.15525869903,-0.10577098434831267,Risk Seeking,0,"[0.0, 0.3]"
15,15,0.23398953081127932,0.07158131803053405,5.4569682106375694e-09,0.6733734114826322,59070.63019329827,-78895.91457725855,0.05877866901880653,Risk Seeking,0,"[0.0, 0.3]"
16,16,0.23270698369118825,0.06946653774553366,-1.802982296794653e-08,0.6276609227406278,64452.428254882536,-74099.72109328018,-0.031390300142395314,Risk Seeking,0,"[0.0, 0.3]"
17,17,0.23373814324147837,0.06833690432526493,-5.0495145842432976e-09,0.6867368929328166,73685.00897213657,-65209.71099369534,0.016004543633483356,Risk Seeking,0,"[0.0, 0.3]"
