,scenario,replication,risk_aversion,wealth,ra_bounds
0,Risk Seeking,0,0.3036410861171882,22487.91970927792,"[0.0, 0.3]"
1,Risk Seeking,0,0.29005088170950044,43466.46696596816,"[0.0, 0.3]"
2,Risk Seeking,0,0.27728373247861726,-20228.797716501973,"[0.0, 0.3]"
3,Risk Seeking,0,0.23863747256863233,-20751.647478788786,"[0.0, 0.3]"
4,Risk Seeking,0,0.18627196395438295,-25267.976940560882,"[0.0, 0.3]"
5,Risk Seeking,0,0.2679514107239137,9233.204777272316,"[0.0, 0.3]"
6,Risk Seeking,0,0.3406439126611319,13146.16960951664,"[0.0, 0.3]"
7,Risk Seeking,0,0.29074139679223066,8666.076738206582,"[0.0, 0.3]"
8,Risk Seeking,0,0.31520082620775414,-5263.399152186874,"[0.0, 0.3]"
9,Risk Seeking,0,0.1890624033452073,22635.72672110205,"[0.0, 0.3]"
10,Risk Seeking,0,0.2121780654207146,12582.442370485383,"[0.0, 0.3]"
11,Risk Seeking,0,0.22730742827069605,5611.16110250556,"[0.0, 0.3]"
12,Risk Seeking,0,0.24867590092738856,-9929.76256525279,"[0.0, 0.3]"
13,Risk Seeking,0,0.3117757509091982,-33190.444271184206,"[0.0, 0.3]"
14,Risk Seeking,0,0.30882397576432596,-2211.5045817016507,"[0.0, 0.3]"
15,Risk Seeking,0,0.3507846949489638,517.3061292231322,"[0.0, 0.3]"
16,Risk Seeking,0,0.2709246465501586,-7904.703471119927,"[0.0, 0.3]"
17,Risk Seeking,0,0.15506936970949525,14318.764579776342,"[0.0, 0.3]"
18,Risk Seeking,0,0.16255485644834922,4157.5516173245605,"[0.0, 0.3]"
19,Risk Seeking,0,0.23005260384821158,-2646.0668359688425,"[0.0, 0.3]"
20,Risk Seeking,0,0.3208971225739421,6655.545379553201,"[0.0, 0.3]"
21,Risk Seeking,0,0.32654408437816385,22506.950915096546,"[0.0, 0.3]"
22,Risk Seeking,0,0.27463569558216105,12872.006625236732,"[0.0, 0.3]"
23,Risk Seeking,0,0.36745616625302524,34652.44896689883,"[0.0, 0.3]"
24,Risk Seeking,0,0.2483711958796433,17064.688679995976,"[0.0, 0.3]"
25,Risk Seeking,0,0.19436781481328635,-28042.771164323185,"[0.0, 0.3]"
26,Risk Seeking,0,0.21852901916139855,-31251.097450134155,"[0.0, 0.3]"
27,Risk Seeking,0,0.23188257453113748,-24070.83466603497,"[0.0, 0.3]"
28,Risk Seeking,0,0.2147725099344987,6373.196067663023,"[0.0, 0.3]"
